frame.number|frame.time|frame.time_delta|frame.time_relative|eth.src_resolved|eth.dst_resolved|eth.src|eth.dst|eth.type|ip.version|ip.hdr_len|ip.len|ip.id|ip.flags.df|ip.flags.mf|ip.flags.rb|ip.flags.sf|ip.dsfield.dscp|ip.dsfield.ecn|ip.tos|ip.ttl|ip.proto|ip.src|ip.dst|udp.srcport|udp.dstport|udp.length|tcp.flags.cwr|tcp.flags.ecn|tcp.flags.urg|tcp.flags.ack|tcp.flags.push|tcp.flags.reset|tcp.flags.syn|tcp.flags.fin|tcp.flags.res|tcp.flags.ns|tcp.payload|tcp.len|frame.len
1|Feb 24, 2020 16:25:32.017054000 CST|0.000000000|0.000000000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|102|0x00008d47|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|1|0|0|0|0|0|170303002daae8516db6c458781a0f66e71e0ff1f7ec7dfd266feb791cec5022307401f0ca303bd7d872e5971fbb3573a35a|50|116
2|Feb 24, 2020 16:25:32.166472000 CST|0.149418000|0.149418000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|98|0x0000e111|1|0|0||0|0||38|6|52.196.247.117|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|1703030029000000000000003ae98455e671c0f145b42b6fa37edb2538317bd1933de855bb18950404e0498f090d|46|112
3|Feb 24, 2020 16:25:32.169755000 CST|0.003283000|0.152701000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x00008d48|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|0|0|0|0|0|0||0|66
4|Feb 24, 2020 16:25:37.228255000 CST|5.058500000|5.211201000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
5|Feb 24, 2020 16:25:37.303632000 CST|0.075377000|5.286578000|Wisol_39:25:6e|Broadcast|70:2c:1f:39:25:6e|ff:ff:ff:ff:ff:ff|0x00000806|||||||||||||||||||||||||||||||60
6|Feb 24, 2020 16:25:37.303724000 CST|0.000092000|5.286670000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
7|Feb 24, 2020 16:25:37.304027000 CST|0.000303000|5.286973000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000806|||||||||||||||||||||||||||||||60
8|Feb 24, 2020 16:25:42.047788000 CST|4.743761000|10.030734000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|83|0x00009d1d|1|0|0||0|0||223|6|3.248.114.150|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|150303001af3632c0096cabae705b038d17317b27e33872e3299b7cfc29986|31|97
9|Feb 24, 2020 16:25:42.150094000 CST|0.102306000|10.133040000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x0000f652|1|0|0||0|0||64|6|192.168.143.43|3.248.114.150||||0|0|0|1|0|0|0|0|0|0||0|66
10|Feb 24, 2020 16:25:47.060013000 CST|4.909919000|15.042959000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x00009d1e|1|0|0||0|0||223|6|3.248.114.150|192.168.143.43||||0|0|0|1|0|0|0|1|0|0||0|66
