frame.number|frame.time|frame.time_delta|frame.time_relative|eth.src_resolved|eth.dst_resolved|eth.src|eth.dst|eth.type|ip.version|ip.hdr_len|ip.len|ip.id|ip.flags.df|ip.flags.mf|ip.flags.rb|ip.flags.sf|ip.dsfield.dscp|ip.dsfield.ecn|ip.tos|ip.ttl|ip.proto|ip.src|ip.dst|udp.srcport|udp.dstport|udp.length|tcp.flags.cwr|tcp.flags.ecn|tcp.flags.urg|tcp.flags.ack|tcp.flags.push|tcp.flags.reset|tcp.flags.syn|tcp.flags.fin|tcp.flags.res|tcp.flags.ns|tcp.payload|tcp.len|frame.len
1|Feb 24, 2020 16:17:10.771105000 CST|0.000000000|0.000000000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|293|0x000036c3|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|17030300ec000000000000006c667754a9d280226167dbdb01704dc9a94afc06d0a551ea925b8a46f20fffbf3962b96fc845f3f27c41e3e9f530a196a853659534243168f7ff77efc4b2ae96ce748ef45eed3bb175c59be5a6bd41b133a710bad854ee079b0c2f674312c82fa563411b8aed60e38f3e4dfe7eb409d74ca153ac77b69b6eff4809437c3923d678073ae7598d435cd6f2d4bf18b50019ad383118be57ad19a4ba7b765c0172d018d4c51a0acc80587483b037a9e98a1ab11225a769832586417bcfbdb1df6695de459544ef7f6b29884644c4a784dea4930be20f320ccfaa07f11de18c59a83d4dc980a3fc|241|307
2|Feb 24, 2020 16:17:10.832281000 CST|0.061176000|0.061176000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x00003489|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
3|Feb 24, 2020 16:17:10.836056000 CST|0.003775000|0.064951000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|160|0x000036c4|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|1703030067000000000000006d81b6de84f3367ad9640f9b84dc3c2c3c54adfda11e5a8c0b983ea71bd12091c5b12cc81de0bbfdc5c44e7540eed8165b4fffa7df198dfed3bcfe671f0055b735edfda6f1df345b855c34b36db98e755bf96e3569015b62a1ff66be78fe24aa|108|174
4|Feb 24, 2020 16:17:10.855851000 CST|0.019795000|0.084746000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x0000348a|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
5|Feb 24, 2020 16:17:17.296078000 CST|6.440227000|6.524973000|Wisol_39:25:6e|Broadcast|70:2c:1f:39:25:6e|ff:ff:ff:ff:ff:ff|0x00000806|||||||||||||||||||||||||||||||60
6|Feb 24, 2020 16:17:17.296183000 CST|0.000105000|6.525078000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
7|Feb 24, 2020 16:17:22.990063000 CST|5.693880000|12.218958000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|294|0x000036c5|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|17030300ed000000000000006ef32b4a49563b61fa5ebcdda91daa55dac60f1cf99892b49aaf6bb2619504a62f71a1fd0deef3bd3e8ee8156fc1812b9b9a7cd839e7ad835d0a04f01284504fac7215a552ce8fd570e5135390e83f94d5d601cec1d9ab9c318e080581d5db0ceea0a9589fc79411588b5895d94141f38efc9e7e9a25b5327ed0cd05f2a4e56968334784981629ca24f0d2a00729fbb08aa3d5478b25f1ac58313f82464a39ccb893b419bc7f1bfb6e534bb39d074213112edd11aa694ddbc67f3d4409f0b4a62cf049ca6847fb7e20a37655f2c2ec4e201bc80b133a432c3f794718e5f6a72722b2fa63b421|242|308
8|Feb 24, 2020 16:17:23.009892000 CST|0.019829000|12.238787000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x0000348b|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
9|Feb 24, 2020 16:17:23.013489000 CST|0.003597000|12.242384000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|162|0x000036c6|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|1703030069000000000000006fdf5c27898050d5b8272120857490063bbbc0f27d7b894057adb54d48a1e400b2eb3871b17523d76ede609fb2e679eda503e884137aaa9853c698ef9348dab2fb44bb47d6db454d75ba4000064e0fa398cede06667caf06f28db126514d0af9a4e0|110|176
10|Feb 24, 2020 16:17:23.033319000 CST|0.019830000|12.262214000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x0000348c|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
