frame.number|frame.time|frame.time_delta|frame.time_relative|eth.src_resolved|eth.dst_resolved|eth.src|eth.dst|eth.type|ip.version|ip.hdr_len|ip.len|ip.id|ip.flags.df|ip.flags.mf|ip.flags.rb|ip.flags.sf|ip.dsfield.dscp|ip.dsfield.ecn|ip.tos|ip.ttl|ip.proto|ip.src|ip.dst|udp.srcport|udp.dstport|udp.length|tcp.flags.cwr|tcp.flags.ecn|tcp.flags.urg|tcp.flags.ack|tcp.flags.push|tcp.flags.reset|tcp.flags.syn|tcp.flags.fin|tcp.flags.res|tcp.flags.ns|tcp.payload|tcp.len|frame.len
1|Feb 24, 2020 16:08:43.981469000 CST|0.000000000|0.000000000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x0000d379|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
2|Feb 24, 2020 16:08:44.983535000 CST|1.002066000|1.002066000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x0000d430|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
3|Feb 24, 2020 16:08:50.023406000 CST|5.039871000|6.041937000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|102|0x00008d15|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|1|0|0|0|0|0|170303002daae8516db6c4585f3b0bc17e1aa6c57e78ff277954b00ba145b7e4d97d27a379aa2b005b31b38d72597adc80a4|50|116
4|Feb 24, 2020 16:08:50.172959000 CST|0.149553000|6.191490000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|98|0x0000e0f8|1|0|0||0|0||38|6|52.196.247.117|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|17030300290000000000000021d725b8e9568a8430b92ea1d040101b8f112ae5805263fc9913d40e436817cddf6e|46|112
5|Feb 24, 2020 16:08:50.176501000 CST|0.003542000|6.195032000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x00008d16|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|0|0|0|0|0|0||0|66
6|Feb 24, 2020 16:08:55.248259000 CST|5.071758000|11.266790000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
7|Feb 24, 2020 16:08:55.315369000 CST|0.067110000|11.333900000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000806|||||||||||||||||||||||||||||||60
8|Feb 24, 2020 16:08:57.303145000 CST|1.987776000|13.321676000|Wisol_39:25:6e|Broadcast|70:2c:1f:39:25:6e|ff:ff:ff:ff:ff:ff|0x00000806|||||||||||||||||||||||||||||||60
9|Feb 24, 2020 16:08:57.303235000 CST|0.000090000|13.321766000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
