frame.number|frame.time|frame.time_delta|frame.time_relative|eth.src_resolved|eth.dst_resolved|eth.src|eth.dst|eth.type|ip.version|ip.hdr_len|ip.len|ip.id|ip.flags.df|ip.flags.mf|ip.flags.rb|ip.flags.sf|ip.dsfield.dscp|ip.dsfield.ecn|ip.tos|ip.ttl|ip.proto|ip.src|ip.dst|udp.srcport|udp.dstport|udp.length|tcp.flags.cwr|tcp.flags.ecn|tcp.flags.urg|tcp.flags.ack|tcp.flags.push|tcp.flags.reset|tcp.flags.syn|tcp.flags.fin|tcp.flags.res|tcp.flags.ns|tcp.payload|tcp.len|frame.len
1|Feb 24, 2020 16:12:37.305639000 CST|0.000000000|0.000000000|Wisol_39:25:6e|Broadcast|70:2c:1f:39:25:6e|ff:ff:ff:ff:ff:ff|0x00000806|||||||||||||||||||||||||||||||60
2|Feb 24, 2020 16:12:37.305749000 CST|0.000110000|0.000110000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
3|Feb 24, 2020 16:12:41.036254000 CST|3.730505000|3.730615000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
4|Feb 24, 2020 16:12:41.114276000 CST|0.078022000|3.808637000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000806|||||||||||||||||||||||||||||||60
5|Feb 24, 2020 16:12:48.237287000 CST|7.123011000|10.931648000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|293|0x000036ae|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|17030300ec000000000000005cde3e70f48c00bf68a0be9905b59984092d8391a23f7d882beb959edd36109cf4508bef2a1c4d5fd32712c44df9bdccd56f06c7fda059406c701f38ed6b5a5765a774c098160b2ee042796d18d1d727f4ccc0a71afe02a540a38ffc29101ebed3fe4787aa2675d19d6e0e9758b0d84d84766c2bc210d1993936926fd1a607f866f1f011abf4d23de8a89e9aa82a454ee308d6dca6757bb30e8e12a9a890fcbb38e303f0a20f8a7f5a792badcf009eeffd539cd439c0ce6090f8850ee098ab7d001fcc852eac7812f1c4af0d50e28b93481a4ee5e02a756ca3a6fd3dfb746504e184dc71c9|241|307
6|Feb 24, 2020 16:12:48.297893000 CST|0.060606000|10.992254000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x00003476|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
7|Feb 24, 2020 16:12:48.308095000 CST|0.010202000|11.002456000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|160|0x000036af|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|1703030067000000000000005d0b3f490ce3604b0e36b7dbf1c8e0016257f776e17f1049bd2a0bb31818f9a0804759de919ed210392252f92e89a6711f2ec18b79c5af21dd6c45ff7688ce207ed4800fcbd7ad29d762c458eae5ba63b957dd70eb702795b42d754918f1b13f|108|174
8|Feb 24, 2020 16:12:48.327745000 CST|0.019650000|11.022106000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x00003477|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
9|Feb 24, 2020 16:12:50.110944000 CST|1.783199000|12.805305000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|102|0x00008d21|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|1|0|0|0|0|0|170303002daae8516db6c45865fe2520c7e7ff554a0fe427740f3bd14d270f87e5d5c9f52552bae90c6c55fa15d16e1829db|50|116
10|Feb 24, 2020 16:12:50.260421000 CST|0.149477000|12.954782000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|98|0x0000e0fe|1|0|0||0|0||38|6|52.196.247.117|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|170303002900000000000000274007bd9d0c0107f78795b46c4b16703e0e395a65517e2881df091a5af00b0deaf5|46|112
11|Feb 24, 2020 16:12:50.263880000 CST|0.003459000|12.958241000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x00008d22|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|0|0|0|0|0|0||0|66
12|Feb 24, 2020 16:12:50.744682000 CST|0.480802000|13.439043000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x00002d01|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
13|Feb 24, 2020 16:12:51.134043000 CST|0.389361000|13.828404000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|294|0x000036b0|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|17030300ed000000000000005ee602fd81b754e5be7294cdb6f69feeec5814c7b16e620a4995d1ccce910ed4a8ecafdabef7d61bc81ab54b080f8a709df7c62bf74b9851fd3059bd8699a7459bec508046856aa4d04c4616db44be88cfb08a6979eafef09889c00300bce7a1c1b5830b410c48eefae64a1c78987f65810c9319bd9f736595550d6a966bbf3243e0d3264b6e3a08977d6ddaa0c503d888bc765b47a7f88274fcd6f37368dd125e61e1e36a5e50f00e6f58bd0c21b6a4a3554f4da747943a1cab95311db8538bd6c47f587d5ae8b1f465f7447850538ba623fba0791e24d97415d73236b17270fba20505947a|242|308
14|Feb 24, 2020 16:12:51.153480000 CST|0.019437000|13.847841000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x00003478|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
15|Feb 24, 2020 16:12:51.157151000 CST|0.003671000|13.851512000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|162|0x000036b1|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|1703030069000000000000005fea13b807b3fa3c8ff94ebddcae7c02fdfbb754d8e2e4c2dc8e6781b2f5351a2036c5127e6e15ffd399b7a3ca054bdad40078c2b7e113a6166515928dbd70d939456d4016cedef0e2833b7ea12fff21370e85a441b2d37376a21fb31e97d1b670c2|110|176
16|Feb 24, 2020 16:12:51.176340000 CST|0.019189000|13.870701000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x00003479|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
17|Feb 24, 2020 16:12:51.750515000 CST|0.574175000|14.444876000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x00002ded|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
18|Feb 24, 2020 16:12:57.295650000 CST|5.545135000|19.990011000|Wisol_39:25:6e|Broadcast|70:2c:1f:39:25:6e|ff:ff:ff:ff:ff:ff|0x00000806|||||||||||||||||||||||||||||||60
19|Feb 24, 2020 16:12:57.295740000 CST|0.000090000|19.990101000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
20|Feb 24, 2020 16:12:59.402932000 CST|2.107192000|22.097293000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|66|0x000004b8|1|0|0||0|0||64|17|192.168.143.43|8.8.8.8|58663|53|46|||||||||||||80
21|Feb 24, 2020 16:12:59.403187000 CST|0.000255000|22.097548000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|66|0x000004b9|1|0|0||0|0||64|17|192.168.143.43|8.8.8.8|59321|53|46|||||||||||||80
22|Feb 24, 2020 16:12:59.427793000 CST|0.024606000|22.122154000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|229|0x0000924a|0|0|0||0|0||117|17|8.8.8.8|192.168.143.43|53|58663|209|||||||||||||243
23|Feb 24, 2020 16:12:59.428133000 CST|0.000340000|22.122494000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|183|0x00001cd4|0|0|0||0|0||118|17|8.8.8.8|192.168.143.43|53|59321|163|||||||||||||197
