frame.number|frame.time|frame.time_delta|frame.time_relative|eth.src_resolved|eth.dst_resolved|eth.src|eth.dst|eth.type|ip.version|ip.hdr_len|ip.len|ip.id|ip.flags.df|ip.flags.mf|ip.flags.rb|ip.flags.sf|ip.dsfield.dscp|ip.dsfield.ecn|ip.tos|ip.ttl|ip.proto|ip.src|ip.dst|udp.srcport|udp.dstport|udp.length|tcp.flags.cwr|tcp.flags.ecn|tcp.flags.urg|tcp.flags.ack|tcp.flags.push|tcp.flags.reset|tcp.flags.syn|tcp.flags.fin|tcp.flags.res|tcp.flags.ns|tcp.payload|tcp.len|frame.len
1|Feb 24, 2020 16:10:50.023717000 CST|0.000000000|0.000000000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|102|0x00008d1b|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|1|0|0|0|0|0|170303002daae8516db6c45862925219b525d9d6d680aba586979fca08cdc182c62095e5c84be6aa5463114fc71b50e1115c|50|116
2|Feb 24, 2020 16:10:50.173130000 CST|0.149413000|0.149413000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|98|0x0000e0fb|1|0|0||0|0||38|6|52.196.247.117|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|1703030029000000000000002411754946486f2baa9274b10536843b7ee3e503278f8094306c24e3779a9a33051f|46|112
3|Feb 24, 2020 16:10:50.176825000 CST|0.003695000|0.153108000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x00008d1c|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|0|0|0|0|0|0||0|66
4|Feb 24, 2020 16:10:55.308246000 CST|5.131421000|5.284529000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
5|Feb 24, 2020 16:10:55.332254000 CST|0.024008000|5.308537000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000806|||||||||||||||||||||||||||||||60
6|Feb 24, 2020 16:10:55.878221000 CST|0.545967000|5.854504000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|116|0x000036a8|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|170303003b0000000000000059f32ef37ec83c68d8156498bd33710b38a1552b6598a6bddb33fbd6dfaa1653afa5e9e8441490d9f160d6844eb766eb5e6a661c|64|130
7|Feb 24, 2020 16:10:55.898356000 CST|0.020135000|5.874639000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|91|0x00003473|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|1703030022000000000000003f1707c4183dc9ae8b4a19997ea7d4f757b5f4c1f6db2f39669c85|39|105
8|Feb 24, 2020 16:10:55.901538000 CST|0.003182000|5.877821000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x000036a9|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|0|0|0|0|0|0||0|66
9|Feb 24, 2020 16:10:57.305065000 CST|1.403527000|7.281348000|Wisol_39:25:6e|Broadcast|70:2c:1f:39:25:6e|ff:ff:ff:ff:ff:ff|0x00000806|||||||||||||||||||||||||||||||60
10|Feb 24, 2020 16:10:57.305163000 CST|0.000098000|7.281446000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
11|Feb 24, 2020 16:11:12.053199000 CST|14.748036000|22.029482000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x00000906|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
12|Feb 24, 2020 16:11:13.062204000 CST|1.009005000|23.038487000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x00000946|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
13|Feb 24, 2020 16:11:16.362041000 CST|3.299837000|26.338324000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|60|0x0000b207|1|0|0||0|0||64|17|192.168.143.43|8.8.8.8|57408|53|40|||||||||||||74
14|Feb 24, 2020 16:11:16.362298000 CST|0.000257000|26.338581000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|60|0x0000b208|1|0|0||0|0||64|17|192.168.143.43|8.8.8.8|40176|53|40|||||||||||||74
15|Feb 24, 2020 16:11:16.375402000 CST|0.013104000|26.351685000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|163|0x0000df92|0|0|0||0|0||117|17|8.8.8.8|192.168.143.43|53|40176|143|||||||||||||177
