frame.number|frame.time|frame.time_delta|frame.time_relative|eth.src_resolved|eth.dst_resolved|eth.src|eth.dst|eth.type|ip.version|ip.hdr_len|ip.len|ip.id|ip.flags.df|ip.flags.mf|ip.flags.rb|ip.flags.sf|ip.dsfield.dscp|ip.dsfield.ecn|ip.tos|ip.ttl|ip.proto|ip.src|ip.dst|udp.srcport|udp.dstport|udp.length|tcp.flags.cwr|tcp.flags.ecn|tcp.flags.urg|tcp.flags.ack|tcp.flags.push|tcp.flags.reset|tcp.flags.syn|tcp.flags.fin|tcp.flags.res|tcp.flags.ns|tcp.payload|tcp.len|frame.len
14|Feb 24, 2020 16:22:27.090097000 CST|0.004016000|15.085290000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|162|0x000036de|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|1703030069000000000000008192bb6225814f91999842132e85f0ace731af54754174ee5fa4043010618acccc46b4f90ef7c15aad04f2b1b4d43194dc7bb85076cd9b640b2cec0ba08b0acf9647124652f559da4640f3b7c6c47da4700f41be06b8663469305b0905b6d4333b3e|110|176
15|Feb 24, 2020 16:22:27.110027000 CST|0.019930000|15.105220000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x000034a2|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
16|Feb 24, 2020 16:22:35.191250000 CST|8.081223000|23.186443000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|66|0x00004f72|1|0|0||0|0||64|17|192.168.143.43|8.8.8.8|60313|53|46|||||||||||||80
17|Feb 24, 2020 16:22:35.191521000 CST|0.000271000|23.186714000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|66|0x00004f73|1|0|0||0|0||64|17|192.168.143.43|8.8.8.8|39060|53|46|||||||||||||80
18|Feb 24, 2020 16:22:35.218553000 CST|0.027032000|23.213746000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|229|0x0000db01|0|0|0||0|0||117|17|8.8.8.8|192.168.143.43|53|60313|209|||||||||||||243
19|Feb 24, 2020 16:22:35.230928000 CST|0.012375000|23.226121000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|183|0x00004d8b|0|0|0||0|0||117|17|8.8.8.8|192.168.143.43|53|39060|163|||||||||||||197
20|Feb 24, 2020 16:22:35.233423000 CST|0.002495000|23.228616000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|60|0x00001ac1|1|0|0||0|0||64|6|192.168.143.43|52.10.220.236||||0|0|0|0|0|0|1|0|0|0||0|74
21|Feb 24, 2020 16:22:35.283125000 CST|0.049702000|23.278318000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|60|0x00000000|1|0|0||0|0||229|6|52.10.220.236|192.168.143.43||||0|0|0|1|0|0|1|0|0|0||0|74
22|Feb 24, 2020 16:22:35.286065000 CST|0.002940000|23.281258000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x00001ac2|1|0|0||0|0||64|6|192.168.143.43|52.10.220.236||||0|0|0|1|0|0|0|0|0|0||0|66
23|Feb 24, 2020 16:22:35.311649000 CST|0.025584000|23.306842000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|569|0x00001ac3|1|0|0||0|0||64|6|192.168.143.43|52.10.220.236||||0|0|0|1|1|0|0|0|0|0|1603010200010001fc0303f9100d87e317f24dedb5de2c9ca5ca93e9ce12c67c729df504c9d4af7d4cc14b00008ac030c02cc028c024c014c00a00a500a300a1009f006b006a006900680039003800370036c032c02ec02ac026c00fc005009d003d0035c02fc02bc027c023c013c00900a400a200a0009e00670040003f003e0033003200310030009a009900980097c031c02dc029c025c00ec004009c003c002f0096c012c008001600130010000dc00dc003000a00ff010001490000001900170000146170692e73616d73756e67636c6f75642e636f6d000b000403000102000a001c001a00170019001c001b0018001a0016000e000d000b000c0009000a000d0020001e060106020603050105020503040104020403030103020303020102020203000f000101337400000010000b000908687474702f312e31001500c400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000|517|583
