frame.number|frame.time|frame.time_delta|frame.time_relative|eth.src_resolved|eth.dst_resolved|eth.src|eth.dst|eth.type|ip.version|ip.hdr_len|ip.len|ip.id|ip.flags.df|ip.flags.mf|ip.flags.rb|ip.flags.sf|ip.dsfield.dscp|ip.dsfield.ecn|ip.tos|ip.ttl|ip.proto|ip.src|ip.dst|udp.srcport|udp.dstport|udp.length|tcp.flags.cwr|tcp.flags.ecn|tcp.flags.urg|tcp.flags.ack|tcp.flags.push|tcp.flags.reset|tcp.flags.syn|tcp.flags.fin|tcp.flags.res|tcp.flags.ns|tcp.payload|tcp.len|frame.len
1|Feb 24, 2020 16:15:11.052264000 CST|0.000000000|0.000000000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
2|Feb 24, 2020 16:15:11.135141000 CST|0.082877000|0.082877000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000806|||||||||||||||||||||||||||||||60
3|Feb 24, 2020 16:15:17.296131000 CST|6.160990000|6.243867000|Wisol_39:25:6e|Broadcast|70:2c:1f:39:25:6e|ff:ff:ff:ff:ff:ff|0x00000806|||||||||||||||||||||||||||||||60
4|Feb 24, 2020 16:15:17.296229000 CST|0.000098000|6.243965000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
5|Feb 24, 2020 16:15:17.626638000 CST|0.330409000|6.574374000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|293|0x000036b8|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|17030300ec0000000000000063eee62b502592d3acc1e7c0cc4fe465a47f349fbeee67bcb4f99ad5df58e49c3e09175410d19a6313a18788cbcaa4fb85e749f7a723a43b92145fa046bc686e30585095d56eedc6a6497b4a13a1af577c399508f1bc3e6a6c1907c8d2ab486a52a8182cd91b8998ac25a5c10099bd9d82ae1d673dcf76187f2ff8ddf9d1c82c97e97bbe45e1441d75c41941c338cc2bb06c0245bc3aec0348f84514461af403bd68e5f5e41ec6c22c9003047633c6926be7c560989d79f4898cf667af129d687c21d0a6b4935cef5b1acf7d7ce21238c04df310f41cf1d46228fa9c75f501d93e8674296e|241|307
6|Feb 24, 2020 16:15:17.688791000 CST|0.062153000|6.636527000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x0000347e|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
7|Feb 24, 2020 16:15:17.692665000 CST|0.003874000|6.640401000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|160|0x000036b9|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|17030300670000000000000064376262c16ddeb2257af81dbb3f106ea45d527873da0cffc8dd9ac11cacd33a5bc86be9616451f0b275ba94b440c9dd208ce9298f1d121d73d76ed5910a3014356b4a53a4dba67fe186cb2c291ffad18b7e3a455f74af4a3769e49c909f9669|108|174
8|Feb 24, 2020 16:15:17.712669000 CST|0.020004000|6.660405000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|52|0x0000347f|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|0|0|0|0|0|0||0|66
9|Feb 24, 2020 16:15:18.756279000 CST|1.043610000|7.704015000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x00007031|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
10|Feb 24, 2020 16:15:19.766382000 CST|1.010103000|8.714118000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x00007043|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
