frame.number|frame.time|frame.time_delta|frame.time_relative|eth.src_resolved|eth.dst_resolved|eth.src|eth.dst|eth.type|ip.version|ip.hdr_len|ip.len|ip.id|ip.flags.df|ip.flags.mf|ip.flags.rb|ip.flags.sf|ip.dsfield.dscp|ip.dsfield.ecn|ip.tos|ip.ttl|ip.proto|ip.src|ip.dst|udp.srcport|udp.dstport|udp.length|tcp.flags.cwr|tcp.flags.ecn|tcp.flags.urg|tcp.flags.ack|tcp.flags.push|tcp.flags.reset|tcp.flags.syn|tcp.flags.fin|tcp.flags.res|tcp.flags.ns|tcp.payload|tcp.len|frame.len
1|Feb 24, 2020 16:20:41.419550000 CST|0.000000000|0.000000000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|536|0x0000a292|1|0|0||0|0||64|6|192.168.143.43|18.200.190.216||||0|0|0|1|1|0|0|0|0|0|17030301df70009ac838667005571f64562da208689d444a5aeaf03212f205025f56e78e5b3c32a9b650f765c49d9c659a1544e9b93059db04e9e5a15412c166fcc705a98f77a24c62100ff18696f14ea9d1b51090f5927e6a797672d2255d0336e34917c507c0e16afa5fc204dc119e2dd0febab76a69f1878b9efb32fd9cf5cb4b5709c928aa5eadacfc065a716a90dc2fedcf4e76c9cf1e91031c3a9a180bbb4a7ad814bb9c1047d53fe419ac7513a5b3ba7bf400af341c9c0d343d6f8c0270a1e8fd735b4551e9c8e89dae1de9e61afddaf51ce6f311bbe77da32f58a34fe95c09b6855435968aa8a8683a8bc5bb8fad2535c140bef161c1b9167d8c1344d342fe813c86da13da8611223bdc88a25c78abc7400a21c3204a3f65106cf1c32d1878681f06bcc087272b43b12e790441ef57d3136c2941cad09c734ccf1233f2a5a3730c7fbe61eab6c07b8246fc73f0c85b41e985a9b4c5c9708fea2dc04641e34a301579096135a1e24b2bd8d313348e65aa140830b9445af6304de4fb3f5e6eeee347ba5ce39503d1edd7c3f1c8ee81bb327beee56c52e442924f2e7a72bd213aeac21418fc7937d0c7e2dbe5a5251733165e74cb67c658fda0f5a38db0112179cb744c81fa5fdc0d80a1dbc1f8feb66b75b3315a995b0f03a072e6494a49e82dc1|484|550
2|Feb 24, 2020 16:20:41.535561000 CST|0.116011000|0.116011000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|281|0x00008310|1|0|0||0|0||223|6|18.200.190.216|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|17030300e004eb0f9ab5de9f250ab76a1b3e40c38fb3aa1a33f38ee43122f7677f8e2dfaa11ad84f119a91f107d3b3ab7161c962bc19493a1cdc4333a0123305b8d18113e3be9ec8405f96896673cd71ba353e57138c9fd628683382dc316799c69952d859d8fbb8bed9e4e61c4c5c7b59c1fcd8d209fc4cf2ca3387d52d7e049d0e27b2c2385653e4d110f9fabfdbce07dbd76dc3c76ca23e864c5f8c6c30300f12f39c717cb8b7a794fd6ae12a67be31352c1aeab67696b82718957fb72aa85777898c93459fad5c474bb8254e9487dbf94e21b9faaf2b002a1057249ab04b4f7731feb1|229|295
3|Feb 24, 2020 16:20:41.539067000 CST|0.003506000|0.119517000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x0000a293|1|0|0||0|0||64|6|192.168.143.43|18.200.190.216||||0|0|0|1|0|0|0|0|0|0||0|66
4|Feb 24, 2020 16:20:41.539239000 CST|0.000172000|0.119689000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|744|0x0000a294|1|0|0||0|0||64|6|192.168.143.43|18.200.190.216||||0|0|0|1|1|0|0|0|0|0|17030302af70009ac83866700606794efd5526910d31c80f56973759988d28900b3c1254b0faadbf74cea530bb5482ff3cf20301e88b091e4d14155fdccb427dced4944e8a611fa69d314e7863a3963502b4d468ccecbe501ca9a27f8297765efe824f5cfeb74e7e3b8a55d2873e868d0f193011554c4dcc4a065904673cd6821b95b8eb959dc502e642b7e3fc75c6f64c553a840a3f52ed990c082a57cac20d680f7718768a334fc72ed28cd6d8f1873816381e561bb2a5e6407e8b80adcf082d6a93ac45a324d1a3a98b7cd7dd4b4849b469717c5faa821af61aa3aeeb62a388d0ff5b081939c3492a194271cc021844a4798b54d475f0f9fd804790e5ad829a247c248e115acb974bd590028c8185e976f46fc04abd3f4c1ab127fe17b408c6d4a61be374b6f2c452eb9f412278c5e2e4199d3c2c284a5afb8ebfab33eae42b97663de99a55e4f60b7a991e15f86908799c4ed78ab5896daea46936abc96a1ab6e88e3dd1561bbd7ca358df84d5c8b775f43da1ba00455d756801ceb2a189cbc35d7c61b5efd38417e3b6e7583d3ef28514a91027df62e8f0f65c431b59909f93680ab89f45e186cfa7fb528a1d93836b3838d29c53a8209d11117399521c992398c15ada23aeb5bd5175b65a4f8f2c8bfff8672c34c4934b926c2c71bb1a152475d7c91991ce4b37fb67eedd3299c23d01a4ebca33bbd67901b0ebc16a7b4624283e17f79f6932141185b43cfe94d5c61a1d21483a868f2760401e9f9eea844ef6d142c8a35cd9bd04f45abe2787edc1bcad9f218ea712c8caf1509e21687f5978500c025c24e342f59da022c7cf6cfb9f889a30364fbe42a6e7f45e6250b861de7cf87cabac65c9aa1abb111f0410c6c991ae6afc074c902c2a025ec98a3f665ed9a71f92f63c255958eb12306ad3ca62fae8276dc4462bf178b51172f8e8db4b0aac663ef8f9edcb46badcc7640702d0ad|692|758
5|Feb 24, 2020 16:20:41.672938000 CST|0.133699000|0.253388000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|281|0x00008311|1|0|0||0|0||223|6|18.200.190.216|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|17030300e004eb0f9ab5de9f260a5e14796d2673127126608d8e4542d14af65a9bc7788d04cd7b6609e1d24745429f0dce2c2f150629ae1b850584c60ce69f52ca81c73dad1fa53630a72877dce6aa890921df22b3ba3156f0e2aeed12e77191432353b65468a3fb597ef99f2ce82b210b4451ae53a690c5ed690a0ecc782a05629a5cf3f5d8992453afe29d78e8606021d16e66ad1aa62a32b9c59ebec1ad48c52bc994e68cdc08347c72aee3376fd44fbe87bfa48eb3c303bf4a7a10e139e85aa5859bf55f8fc258d1fbb4c2ea03af0089ceb570662c256ad782f0aab2e14b1a01800784|229|295
6|Feb 24, 2020 16:20:41.677087000 CST|0.004149000|0.257537000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|529|0x0000a295|1|0|0||0|0||64|6|192.168.143.43|18.200.190.216||||0|0|0|1|1|0|0|0|0|0|17030301d870009ac8386670073868bf04916dad8d1a12f24444ebe6cb3996fd95280bde3a1507c7abb375491a9e9e8497f0a82c5ec7130935412684c8ca933ab58e67024509bb0aaeea8d395709db10caef1c3e24fb073ba6e96daf0ae63f5cd1cc8afd1737c879622e57cadbc650b63b60159eac85cd9466c72bb1356845611b6d56e294511ca7212384a20f6a2e4a380c60fc18ab9a48351dd263ec3b1f3549f584e22414a0627e811a8dfcc74ba55556f9efa8abe2366444151f2b94a8036801eda38c313645a7ee57894f26662e2870a0a43df064c0b2d5022d230a1fc559d2c3d27065362dfd6e7414c7f029ad249c8908e01755c7f415e230ce833f752146ef2bbd5a42e44fa1e4875741af29f5b2544b5577d4c33a142e26a8cc2ebf3a7421ddb6645b850fe09f2a25ad8a34ce2b6eac1fab09ceddd82d4f7239bee33abc445c84477e51136d80df988765462ca0792c270fd1355e9adbbc9eb7055ce93b044143f1a9c8d2d59c329d4eecf2a3e15ba301bcdc679d9bb94fb761ef253202587b2b3062cc3c0c5d30c42240d6d01b983e64a3bf894f3d0db750defb670ad395fc88f2b2c960bd48d92d5b1915c0f1a04b480f7ade03bc6d3d08f9a699dd7ee3ab8a1a4726b19c0cc5a0b7deb2a171bfbd24658ce7ecf0a29089|477|543
7|Feb 24, 2020 16:20:41.786940000 CST|0.109853000|0.367390000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|281|0x00008312|1|0|0||0|0||223|6|18.200.190.216|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|17030300e004eb0f9ab5de9f277fd8942e07b0eded18b6a2e04f3664ad64d5b2336a84c5f944b8ca41c44e2f4b733f52a2224da67864a9ff3cc4e62de30df005dfa350761153bb64b4c7fbdbf563b760319205cb74271a5879dc861814cf175600e0a20f91e69b442a97fec86363c89e8d0481a1b533cb45820be8bbda8fb019358dcaff8275d374eb842cb08333390bdca55555da88bfd7c30560180037b13c0064ce800e8f15de807b4a046494c4f43b6888f26330ec3d4be00235a565a30c33e34860ed11e77f7fcd93307047e96db5b09658f24e94edba16552447e69346ffc5d94895|229|295
8|Feb 24, 2020 16:20:41.830093000 CST|0.043153000|0.410543000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x0000a296|1|0|0||0|0||64|6|192.168.143.43|18.200.190.216||||0|0|0|1|0|0|0|0|0|0||0|66
9|Feb 24, 2020 16:20:46.668267000 CST|4.838174000|5.248717000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
10|Feb 24, 2020 16:20:46.711490000 CST|0.043223000|5.291940000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000806|||||||||||||||||||||||||||||||60
