frame.number|frame.time|frame.time_delta|frame.time_relative|eth.src_resolved|eth.dst_resolved|eth.src|eth.dst|eth.type|ip.version|ip.hdr_len|ip.len|ip.id|ip.flags.df|ip.flags.mf|ip.flags.rb|ip.flags.sf|ip.dsfield.dscp|ip.dsfield.ecn|ip.tos|ip.ttl|ip.proto|ip.src|ip.dst|udp.srcport|udp.dstport|udp.length|tcp.flags.cwr|tcp.flags.ecn|tcp.flags.urg|tcp.flags.ack|tcp.flags.push|tcp.flags.reset|tcp.flags.syn|tcp.flags.fin|tcp.flags.res|tcp.flags.ns|tcp.payload|tcp.len|frame.len
1|Feb 24, 2020 16:18:10.015489000 CST|0.000000000|0.000000000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|102|0x00008d31|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|1|0|0|0|0|0|170303002daae8516db6c4586de5fd85eab87194f7c91c48bcdcda2a57f413b0b3a6d6c68db5fa0e839ee6de079f87396818|50|116
2|Feb 24, 2020 16:18:10.165073000 CST|0.149584000|0.149584000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|98|0x0000e106|1|0|0||0|0||38|6|52.196.247.117|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|1703030029000000000000002fa5966d4a6ef6a3f5e7cfd6aaf7417f6ee436be60259d618aadbc83b2556ddf5948|46|112
3|Feb 24, 2020 16:18:10.168255000 CST|0.003182000|0.152766000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x00008d32|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|0|0|0|0|0|0||0|66
4|Feb 24, 2020 16:18:17.292284000 CST|7.124029000|7.276795000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|76|0x0000d04f|1|0|0||4|0||64|17|192.168.143.43|66.70.234.51|33025|123|56|||||||||||||90
5|Feb 24, 2020 16:18:17.296259000 CST|0.003975000|7.280770000|Wisol_39:25:6e|Broadcast|70:2c:1f:39:25:6e|ff:ff:ff:ff:ff:ff|0x00000806|||||||||||||||||||||||||||||||60
6|Feb 24, 2020 16:18:17.296356000 CST|0.000097000|7.280867000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
7|Feb 24, 2020 16:18:17.313042000 CST|0.016686000|7.297553000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|76|0x0000931a|1|0|0||0|0||49|17|66.70.234.51|192.168.143.43|123|33025|56|||||||||||||90
8|Feb 24, 2020 16:18:22.540033000 CST|5.226991000|12.524544000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
9|Feb 24, 2020 16:18:22.630245000 CST|0.090212000|12.614756000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000806|||||||||||||||||||||||||||||||60
10|Feb 24, 2020 16:18:25.879376000 CST|3.249131000|15.863887000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|116|0x000036c9|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|170303003b00000000000000711870a3d3c78e7ec01e250d0aa807d7cf96378b4010226db833698cac0dc7f69de51f924a95086cc8555d90aec619cd7bc510c9|64|130
11|Feb 24, 2020 16:18:25.899568000 CST|0.020192000|15.884079000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|91|0x0000348f|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|17030300220000000000000048be26819327b1881f619c1f7b0678f2b50850322a3f7eb19232ad|39|105
12|Feb 24, 2020 16:18:25.903608000 CST|0.004040000|15.888119000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x000036ca|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|0|0|0|0|0|0||0|66
13|Feb 24, 2020 16:18:36.077802000 CST|10.174194000|26.062313000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x0000e992|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
