frame.number|frame.time|frame.time_delta|frame.time_relative|eth.src_resolved|eth.dst_resolved|eth.src|eth.dst|eth.type|ip.version|ip.hdr_len|ip.len|ip.id|ip.flags.df|ip.flags.mf|ip.flags.rb|ip.flags.sf|ip.dsfield.dscp|ip.dsfield.ecn|ip.tos|ip.ttl|ip.proto|ip.src|ip.dst|udp.srcport|udp.dstport|udp.length|tcp.flags.cwr|tcp.flags.ecn|tcp.flags.urg|tcp.flags.ack|tcp.flags.push|tcp.flags.reset|tcp.flags.syn|tcp.flags.fin|tcp.flags.res|tcp.flags.ns|tcp.payload|tcp.len|frame.len
1|Feb 24, 2020 16:14:10.012572000 CST|0.000000000|0.000000000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|102|0x00008d25|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|1|0|0|0|0|0|170303002daae8516db6c45867a76a29f186a6f08b2ba41aa8cf8a5eb9ae135ca9d9b416ea7beb5947d9f2f9697ca35943fb|50|116
2|Feb 24, 2020 16:14:10.162580000 CST|0.150008000|0.150008000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|98|0x0000e100|1|0|0||0|0||38|6|52.196.247.117|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|170303002900000000000000296a7207f0978d71ddc8865790f1f4cadd81f6b3c5956807dcc6792e2b9ce461b523|46|112
3|Feb 24, 2020 16:14:10.166927000 CST|0.004347000|0.154355000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x00008d26|1|0|0||0|0||64|6|192.168.143.43|52.196.247.117||||0|0|0|1|0|0|0|0|0|0||0|66
4|Feb 24, 2020 16:14:15.244258000 CST|5.077331000|5.231686000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
5|Feb 24, 2020 16:14:15.326129000 CST|0.081871000|5.313557000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000806|||||||||||||||||||||||||||||||60
6|Feb 24, 2020 16:14:15.878246000 CST|0.552117000|5.865674000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|116|0x000036b4|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|1|0|0|0|0|0|170303003b000000000000006166e3b303766baa134f015a9596f42694a2aa4973b7716c578e55b0939d9d5c73a42054a029695bca6d56503a77c9cec909e627|64|130
7|Feb 24, 2020 16:14:15.898335000 CST|0.020089000|5.885763000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|91|0x0000347c|1|0|0||0|0||226|6|52.14.6.98|192.168.143.43||||0|0|0|1|1|0|0|0|0|0|170303002200000000000000431f05dda6004b626c70919f17a9846ec930f51caa72d5e8ad4230|39|105
8|Feb 24, 2020 16:14:15.903220000 CST|0.004885000|5.890648000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|52|0x000036b5|1|0|0||0|0||64|6|192.168.143.43|52.14.6.98||||0|0|0|1|0|0|0|0|0|0||0|66
9|Feb 24, 2020 16:14:17.294939000 CST|1.391719000|7.282367000|Wisol_39:25:6e|Broadcast|70:2c:1f:39:25:6e|ff:ff:ff:ff:ff:ff|0x00000806|||||||||||||||||||||||||||||||60
10|Feb 24, 2020 16:14:17.295058000 CST|0.000119000|7.282486000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000806|||||||||||||||||||||||||||||||42
11|Feb 24, 2020 16:14:24.292088000 CST|6.997030000|14.279516000|Wisol_39:25:6e|Nvidia_e4:08:c5|70:2c:1f:39:25:6e|00:04:4b:e4:08:c5|0x00000800|4|20|576|0x000055f0|1|0|0||0|0||64|17|192.168.143.43|192.168.143.1|68|67|556|||||||||||||590
12|Feb 24, 2020 16:14:24.314560000 CST|0.022472000|14.301988000|Nvidia_e4:08:c5|Wisol_39:25:6e|00:04:4b:e4:08:c5|70:2c:1f:39:25:6e|0x00000800|4|20|328|0x0000ab26|1|0|0||0|0||64|17|192.168.143.1|192.168.143.43|67|68|308|||||||||||||342
13|Feb 24, 2020 16:14:29.415948000 CST|5.101388000|19.403376000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x000045a0|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
14|Feb 24, 2020 16:14:30.417473000 CST|1.001525000|20.404901000|Wisol_39:25:6e|IPv4mcast_fb|70:2c:1f:39:25:6e|01:00:5e:00:00:fb|0x00000800|4|20|229|0x00004671|1|0|0||0|0||255|17|192.168.143.43|224.0.0.251|5353|5353|209|||||||||||||243
